,name,real_rent,age,route_1,route_2,route_3,room_number,DK,K,L,S,convenience,new,old,far,near,very far,very near,世田谷区,中央区,中野区,北区,千代田区,台東区,品川区,墨田区,大田区,文京区,新宿区,板橋区,江戸川区,江東区,渋谷区,港区,目黒区,練馬区,荒川区,葛飾区,豊島区,足立区
54,サークルハウス四つ木壱番館,48000.0,6.0,6.0,15.0,29.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,サークルハウス四つ木壱番館,49000.0,6.0,6.0,15.0,29.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,サークルハウス四つ木壱番館,49000.0,6.0,6.0,15.0,29.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,サークルハウス四つ木壱番館,50000.0,6.0,6.0,15.0,29.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,サークルハウス四つ木壱番館,50000.0,6.0,6.0,15.0,29.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,サークルハウス四つ木壱番館,51000.0,6.0,6.0,15.0,29.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,サークルハウス四つ木壱番館,54000.0,6.0,6.0,15.0,29.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,サークルハウス四つ木壱番館,54000.0,6.0,6.0,15.0,29.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,サークルハウス四つ木壱番館,55000.0,6.0,6.0,15.0,29.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,サークルハウス四つ木壱番館,55000.0,6.0,6.0,15.0,29.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,クローバーヒル,75500.0,4.0,11.0,20.0,25.0,1.0,0.0,1.0,0.0,0.0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,ラクシス田端,76000.0,0.0,15.0,8.0,13.0,1.0,0.0,0.0,0.0,0.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,ラクシス田端,77000.0,0.0,15.0,8.0,13.0,1.0,0.0,0.0,0.0,0.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,ラクシス田端,78000.0,0.0,15.0,8.0,13.0,1.0,0.0,1.0,0.0,0.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,ラクシス田端,80000.0,0.0,15.0,8.0,13.0,1.0,0.0,1.0,0.0,0.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,ラクシス田端,82000.0,0.0,15.0,8.0,13.0,1.0,0.0,1.0,0.0,0.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,ラクシス田端,83000.0,0.0,15.0,8.0,13.0,1.0,0.0,1.0,0.0,0.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,西武新宿線 鷺ノ宮駅 2階建 築18年,45000.0,18.0,10.0,16.0,15.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,西武新宿線 鷺ノ宮駅 2階建 築18年,45000.0,18.0,10.0,16.0,15.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,西武新宿線 鷺ノ宮駅 2階建 築18年,95000.0,18.0,10.0,16.0,15.0,2.0,1.0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
